-48 48 48 48 Temple St
-46 48 -30 20 Lakeview Ave
-50 34 -44 44 Steep Rd
-50 24 -38 34 Edge Dr
-40 38 -20 48 Claudia Ct
-12 48 -12 46 Short St
-18 48 -18 38 Medium Dr
-28 44 -20 36 Long Ave
-36 40 -20 36 Supersize Ln
-20 36 -12 46 Westerly Dr
-30 38 -30 20 Reese Pkwy
-30 30 -20 30 Rosalyn Ct
-30 24 -22 24 Susann Ct
-40 20 0 20 Woodward Dr
0 36 0 10 Howard St
-10 48 0 36 Gillis St
-20 26 -2 46 Ryan Pl
-14 32 0 32 Summer Ave
-20 26 0 26 Seymour St
-10 26 -10 20 Hart St
-28 10 8 10 Woodcrest Dr
-24 20 -24 10 Berry Dr
-16 20 -16 10 Castille Dr
-6 20 -6 10 Oak Dr
-40 20 30 -34 Perpen Pl
-50 12 -40 20 Angle Ave
-42 18 -38 -4 Skew St
-48 2 -32 14 Nilpara Ln
-44 -10 -24 8 Prospect St
-38 -16 -16 2 Orchard St
-42 -8 -36 -14 Connection Ct
-30 -10 -12 -10 Plantation Pl
-38 -16 -38 -40 Russel Joy Pkwy
-42 -40 48 50 Center St
2 4 2 -12 Liberty St
-10 6 -2 0 Point St
4 18 10 12 Clark St
8 22 16 18 Elm St
12 24 22 24 Link St
6 30 28 30 Curtis Pl
10 48 10 30 Risley St
6 30 26 50 Forest Pl
16 40 38 40 Leverett St
40 42 46 10 Maple Ave
30 20 50 30 Eagle St
30 0 50 20 Green St
30 32 30 0 Cushing St
20 22 20 -4 Barker St
10 -18 30 10 Hamlet St
-40 -30 30 -30 Horzin St
-18 -22 -18 -30 Road St
-10 -14 -10 -30 Lane Ave
2 -20 2 -30 Plaza Dr
10 -24 10 -30 Parkway Ct
-18 -24 10 -24 Line St
30 -10 30 -30 Verti Dr
30 -10 50 -12 Deja Vu Dr
30 -14 50 -20 McQueen Ct
50 -12 50 -24 Meem St
30 -24 50 -34 Swamp Rd
40 -24 40 -50 Somebody St
40 -50 50 -40 Once Dr
50 -30 50 -40 Toldme St
44 -32 50 -32 Daworldwace Dr
44 -38 50 -38 Gunrolme Ln
-38 -36 -28 -36 Ittle Dr
-38 -40 -34 -44 Corner St
-28 -32 -28 -40 Kant St
-22 -32 -22 -40 Stope Dr
-16 -32 -16 -40 Mee Ln
-10 -32 -10 -40 Nowe Ct
-34 -44 -30 -40 Having St
-30 -40 -10 -40 Agudetiem Rd
-10 -40 -4 -46 Havinga Dr
-34 -44 30 -48 Gratetime Rd
-4 -30 -4 -46 Surprise St
-4 -36 2 -40 Woh Rd
2 -34 2 -40 Wear St
-4 -34 20 -34 Hafaway Dr
2 -40 10 -40 Thair St
10 -34 10 -44 Woaho St
10 -38 20 -38 Living Ln
20 -34 20 46 Onaa Rd
20 -36 30 -36 Prayer St
30 -34 30 -50 Healpame St
30 -50 36 -46 Done Dr
